hostname;ldom;status;uptime
ilom1;infra;ONLINE;365d 11h
control1;infra;ONLINE;180d 05h
ldom1;infra;ONLINE;142d 08h
ilom2;infra;ONLINE;365d 10h
control2;infra;ONLINE;180d 04h
ldom2;infra;ONLINE;142d 08h
sft1;LDOM1;ONLINE;142d 08h
metrosp44;LDOM1;ONLINE;142d 08h
sft2;LDOM2;RESERVA;142d 07h
metrosp45;LDOM2;RESERVA;142d 07h
cptm1;LDOM1;ATIVO;45d 12h
cptm1;LDOM2;STANDBY;45d 12h
cptm2;LDOM1;ATIVO;45d 12h
cptm2;LDOM2;STANDBY;45d 12h
sme3;LDOM1;ATIVO;12d 03h
sme3;LDOM2;STANDBY;12d 03h
cons1;LDOM1;ATIVO;08d 22h
cons1;LDOM2;STANDBY;08d 22h
cptm3;LDOM1;STANDBY;33d 10h
cptm3;LDOM2;ATIVO;33d 10h
cptm4;LDOM1;STANDBY;33d 10h
cptm4;LDOM2;ATIVO;33d 10h
cons5;LDOM1;STANDBY;02d 15h
cons5;LDOM2;ATIVO;02d 15h
cptm12;LDOM1;STANDBY;18d 05h
cptm12;LDOM2;ATIVO;18d 05h
ws11;ws;ATIVO;15d 02h
ws12;ws;ATIVO;28d 11h
ws13;ws;ATIVO;04d 19h
ws21;ws;ATIVO;41d 06h
ws22;ws;ATIVO;12d 23h
ws23;ws;STANDBY;02d 01h
ws24;ws;ATIVO;89d 14h
ws25;ws;FALHA;-
