# NEXUS MONITOR - Sample CSV de Eventos Operacionais
# Contrato: TIMESTAMP;HOSTNAME;MODULO;STATUS;METRICA;VALOR;MENSAGEM
# Separador: ponto e vírgula (;)

TIMESTAMP;HOSTNAME;MODULO;STATUS;METRICA;VALOR;MENSAGEM
2026-07-02 09:00:01;ilom1;HARDWARE;OK;TEMPERATURA;38C;Temperatura dentro do limite operacional
2026-07-02 09:00:05;ilom2;HARDWARE;ALERTA;TEMPERATURA;41C;Temperatura elevada em observação
2026-07-02 09:01:10;ldom1;VIRTUALIZACAO;OK;CPU;42%;Uso de CPU normal
2026-07-02 09:01:15;ldom2;VIRTUALIZACAO;OK;CPU;36%;Uso de CPU normal
2026-07-02 09:02:00;cons5;SERVICO;ALERTA;DISPONIBILIDADE;DEGRADADO;Console CONS5 em estado degradado
2026-07-02 09:02:30;ws13;WORKSTATION;CRITICO;PING;DOWN;Workstation WS13 indisponível
2026-07-02 09:03:00;ws24;WORKSTATION;ALERTA;PING;ALTO_LATENCIA;Latência acima do esperado
2026-07-02 09:04:00;sft1;SERVICO;OK;DISPONIBILIDADE;ONLINE;Servidor SFT1 operacional
2026-07-02 09:04:10;sft2;SERVICO;OK;DISPONIBILIDADE;ONLINE;Servidor SFT2 operacional
2026-07-02 09:05:00;nexus;SISTEMA;INFO;COLETA;FINALIZADA;Ciclo de coleta concluído com sucesso
