# NEXUS MONITOR - Sample CSV para Dashboard Frontend
# Contrato: hostname;ldom;status;uptime
# Separador: ponto e vírgula (;)
# Ambiente: local/offline
#
# Regras:
# - hostname deve corresponder aos IDs usados no frontend.
# - ldom=infra para ILOM, Control Domain e LDOM física/lógica principal.
# - ldom=ws para workstations físicas.
# - ldom=ldom1 ou ldom=ldom2 para serviços hospedados nas LDOMs.
# - status recomendado: OK, ATIVO, ONLINE, STANDBY, ALERTA, OFFLINE, FALHA.
# - uptime pode ser "-" quando desconhecido.

hostname;ldom;status;uptime
ilom1;infra;OK;42d 03h
control1;infra;OK;42d 02h
ldom1;infra;OK;41d 22h
sft1;ldom1;OK;18d 04h
metrosp44;ldom1;OK;18d 03h
cptm1;ldom1;OK;12d 10h
cptm2;ldom1;OK;12d 09h
cptm3;ldom1;OK;12d 08h
cptm4;ldom1;STANDBY;09d 11h
sme3;ldom1;OK;07d 06h
cons1;ldom1;OK;07d 05h
cons5;ldom1;ALERTA;02d 14h
cptm12;ldom1;OK;05d 20h
ilom2;infra;OK;39d 18h
control2;infra;OK;39d 17h
ldom2;infra;OK;39d 15h
sft2;ldom2;OK;16d 12h
metrosp45;ldom2;OK;16d 11h
cptm1;ldom2;STANDBY;12d 10h
cptm2;ldom2;STANDBY;12d 09h
cptm3;ldom2;STANDBY;12d 08h
cptm4;ldom2;OK;09d 11h
sme3;ldom2;STANDBY;07d 06h
cons1;ldom2;STANDBY;07d 05h
cons5;ldom2;OK;02d 14h
cptm12;ldom2;STANDBY;05d 20h
ws11;ws;OK;11d 01h
ws12;ws;OK;11d 01h
ws13;ws;FALHA;-
ws21;ws;OK;10d 18h
ws22;ws;OK;10d 17h
ws23;ws;OK;10d 15h
ws24;ws;ALERTA;03d 04h
ws25;ws;OK;03d 03h
